Randolph Anderson,12.01.1996,20.02.1991
Ian Hackett,27.09.1985,08.03.2020
Larry Daugherty PhD,10.06.1976,04.05.2008
Bradford Mayer,23.04.1993,01.05.2017
Ms. Glenda Bogisich,28.03.1996,21.09.2001
Jordan Green,13.11.1993,08.06.1996
Ray Murphy,18.06.1989,12.11.2004
Sue Veum,13.04.1980,19.07.1991
Kristina Veum MD,09.02.1991,16.06.1990
Jo Ruecker,14.11.1995,16.08.1997
Marianne Bernier,05.02.1984,30.10.1997
Van Roob,31.01.1978,01.08.2004
Everett Lebsack I,29.08.1984,06.07.2005
Margarita Harvey Sr.,28.09.1986,24.11.2015
Jesse Dare,14.08.1972,31.07.2002
Wilbur Flatley,18.08.1987,14.02.1994
Elsa Mraz,10.09.1974,08.06.1997
Samantha Schuppe,18.05.1987,24.11.2014
Eloise Hettinger,02.11.1975,10.07.1996
Carl Johns,16.08.1995,01.09.2008
Francisco Wehner,30.03.1985,17.05.1997
Perry Mills,01.08.1991,29.11.2001
Irvin Champlin II,14.05.1986,22.01.2014
Cindy O'Keefe,14.04.1978,28.06.1996
Virginia Shanahan,17.01.1976,02.12.1999
